DateTime,BasicIncidentType,BasicPropertyUse,CivilianCasualtySeverity,CauseOfInjury,HumanFactorsContributingToInjury,ActivityWhenInjured,AreaOfFireOrigin,CauseOfIgnition,DetectorPresence,FireJurisdictionBoundaries,CivilianCasualtyCount
2/15/20 3:42,1120 - Tent Fire/Undersheltered,931 - Open land or field,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Irrational act,"Open area, outside; included are farmland, field",Unintentional,N - None present,Portland Fire & Rescue,1
2/15/20 11:53,1120 - Tent Fire/Undersheltered,"900 - Outside or special property, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
2/15/20 11:53,1120 - Tent Fire/Undersheltered,"900 - Outside or special property, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
2/17/20 16:40,111 - Building fire,429 - Multifamily dwelling,Fatality,1 - Exposed to fire products,"Possibly mentally disabled,Physically disabled",Unable to act,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Salem Fire Department,1
2/18/20 3:40,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Fire control,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,North Lincoln Fire & Rescue District #1,1
2/21/20 19:56,1120 - Tent Fire/Undersheltered,"926 - Outbuilding, protective shelter",Moderate,N - Not Reported,Not Reported,Not Reported,"Highway, parking lot, street: on or near",Unintentional,N - Not Reported,Eugene Springfield Fire,1
2/23/20 0:55,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,N - None present,Jackson County Fire District #3,1
2/24/20 17:43,163 - Outside gas or vapor combustion explosion,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Outside area, other",Unintentional,N - Not Reported,Portland Fire & Rescue,1
2/26/20 12:50,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Clackamas Fire District #1,1
2/28/20 14:14,142 - Brush or brush-and-grass mixture fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Open area, outside; included are farmland, field",Unintentional,N - Not Reported,Deschutes County RFPD #2,1
2/29/20 6:17,"113 - Cooking fire, confined to container",429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
2/29/20 6:17,"113 - Cooking fire, confined to container",429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
3/1/20 2:29,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,None,Fire control,"Wall assembly, concealed wall space",Unintentional,1 - Present,Sandy Fire District #72,1
3/3/20 18:36,111 - Building fire,419 - 1 or 2 family dwelling,Severe,N - Not Reported,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Unintentional,U - Undetermined,Eugene Springfield Fire,1
3/4/20 9:32,111 - Building fire,"400 - Residential, other",Fatality,U - Undetermined,None,Undetermined,Undetermined,Cause under investigation,U - Undetermined,No District,1
3/5/20 8:34,111 - Building fire,419 - 1 or 2 family dwelling,Minor,2 - Exposed to hazardous materials or toxic fumes other than smoke,Not Reported,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Lebanon Fire District,1
3/7/20 12:02,1120 - Tent Fire/Undersheltered,931 - Open land or field,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Other area of fire origin,Unintentional,N - None present,Hillsboro Fire & Rescue,1
3/7/20 12:02,1120 - Tent Fire/Undersheltered,931 - Open land or field,Minor,1 - Exposed to fire products,Not Reported,"Activity, other",Other area of fire origin,Unintentional,N - None present,Hillsboro Fire & Rescue,1
3/7/20 12:02,1120 - Tent Fire/Undersheltered,931 - Open land or field,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Other area of fire origin,Unintentional,N - None present,Hillsboro Fire & Rescue,1
3/8/20 6:55,"122 - Fire in motor home, camper, recreational vehicle","400 - Residential, other",Fatality,1 - Exposed to fire products,Physically disabled,Not Reported,"Common room, den, family room, living room, lounge",Cause undetermined after investigation,U - Undetermined,Warrenton RFPD,1
3/11/20 23:55,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,Irrational act,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,North Lincoln Fire & Rescue District #1,1
3/13/20 21:09,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Returning to vicinity of fire before control of fire,"Function areas, other",Unintentional,N - None present,Marion County Fire District No.1,1
3/15/20 13:28,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,2 - Exposed to hazardous materials or toxic fumes other than smoke,None,Escaping,"Cooking area, kitchen",Unintentional,1 - Present,Sandy Fire District #72,1
3/16/20 8:31,"321 - EMS call, excluding vehicle accident with injury",419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Umatilla County Fire District 1,1
3/18/20 1:37,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Exterior balcony, unenclosed porch",Cause under investigation,1 - Present,Gresham Fire Department,1
3/20/20 19:37,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Tualatin Valley Fire & Rescue,1
3/20/20 19:37,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Tualatin Valley Fire & Rescue,1
3/22/20 13:54,111 - Building fire,"880 - Vehicle storage, other",Moderate,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,Wall surface: exterior,Unintentional,N - None present,Stayton Fire District,1
3/24/20 12:22,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,U - Undetermined,Not Reported,Undetermined,Undetermined,Cause undetermined after investigation,1 - Present,Tualatin Valley Fire & Rescue,1
3/25/20 5:28,1120 - Tent Fire/Undersheltered,"400 - Residential, other",Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Structural area, other",Intentional,N - None present,Portland Fire & Rescue,1
3/31/20 17:01,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Salem Fire Department,1
4/2/20 4:49,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
4/3/20 11:27,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Cause under investigation,U - Undetermined,Douglas County Fire District #2,1
4/4/20 14:28,131 - Passenger vehicle fire,965 - Vehicle parking area,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Portland Fire & Rescue,1
4/5/20 19:33,NNN - Not Reported,"150 - Public or government, other",Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Oakridge Fire Department,1
4/9/20 23:07,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Possibly mentally disabled,Sleeping,"Open area, outside; included are farmland, field",Unintentional,1 - Present,Portland Fire & Rescue,1
4/9/20 23:44,111 - Building fire,419 - 1 or 2 family dwelling,Minor,3 - Jumped in escape attempt,Not Reported,Escaping,Other area of fire origin,Cause undetermined after investigation,1 - Present,Jackson County Fire District #3,1
4/9/20 23:44,111 - Building fire,419 - 1 or 2 family dwelling,Minor,3 - Jumped in escape attempt,Not Reported,Escaping,Other area of fire origin,Cause undetermined after investigation,1 - Present,Jackson County Fire District #3,1
4/11/20 7:54,131 - Passenger vehicle fire,"960 - Street, other",Moderate,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Portland Fire & Rescue,1
4/12/20 22:02,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Cause under investigation,N - None present,Reedsport Fire Department,1
4/14/20 15:33,111 - Building fire,"400 - Residential, other",Minor,1 - Exposed to fire products,Possibly impaired by alcohol,Sleeping,Bedroom - 5+ persons; including barrack/dormitory,Unintentional,1 - Present,City of Wood Village,1
4/19/20 3:25,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Southwestern Polk County RFPD,1
4/19/20 3:25,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Southwestern Polk County RFPD,1
4/19/20 3:25,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Southwestern Polk County RFPD,1
4/19/20 9:44,1120 - Tent Fire/Undersheltered,"960 - Street, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Highway, parking lot, street: on or near",Unintentional,N - None present,Portland Fire & Rescue,1
4/19/20 19:27,"160 - Special outside fire, other","900 - Outside or special property, other",Moderate,1 - Exposed to fire products,None,Undetermined,"Highway, parking lot, street: on or near",Intentional,N - Not Reported,Portland Fire & Rescue,1
4/22/20 16:59,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
4/23/20 6:43,137 - Camper or recreational vehicle (RV) fire,"579 - Motor vehicle or boat sales, services, repair",Fatality,U - Undetermined,Not Reported,Not Reported,Undetermined,Cause undetermined after investigation,N - Not Reported,Milton-Freewater Fire Department,1
4/23/20 11:54,111 - Building fire,"600 - Ind., utility, defense, agriculture, mining, other",Minor,N - Not Reported,Not Reported,Not Reported,"Function areas, other",Cause undetermined after investigation,N - None present,Columbia River Fire & Rescue,1
4/25/20 8:21,"113 - Cooking fire, confined to container","311 - 24-hour care Nursing homes, 4 or more persons",Moderate,2 - Exposed to hazardous materials or toxic fumes other than smoke,Not Reported,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Klamath County Fire District No. 1,1
4/26/20 10:03,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Irrational act,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Sandy Fire District #72,1
4/30/20 17:27,"113 - Cooking fire, confined to container","439 - Boarding/rooming house, residential hotels",Minor,1 - Exposed to fire products,Possibly mentally disabled,Irrational act,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
5/2/20 2:30,111 - Building fire,"311 - 24-hour care Nursing homes, 4 or more persons",Minor,1 - Exposed to fire products,None,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
5/2/20 5:43,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Sandy Fire District #72,1
5/2/20 12:05,112 - Fires in structure other than in a building,"900 - Outside or special property, other",Minor,1 - Exposed to fire products,Not Reported,Fire control,"Outside area, other",Intentional,N - None present,Mosier Fire District,1
5/3/20 9:49,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Undetermined,"Common room, den, family room, living room, lounge",Cause undetermined after investigation,1 - Present,Grants Pass Fire & Rescue,1
5/3/20 22:57,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
5/3/20 22:57,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
5/5/20 14:01,"100 - Fire, other","519 - Food and beverage sales, grocery store",Undetermined,N - Not Reported,None,Not Reported,Undetermined,Unintentional,N - Not Reported,Gresham Fire Department,1
5/8/20 11:41,137 - Camper or recreational vehicle (RV) fire,"880 - Vehicle storage, other",Minor,1 - Exposed to fire products,Not Reported,"Activity, other","Engine area, running gear, wheel area",Unintentional,N - Not Reported,Hillsboro Fire & Rescue,1
5/8/20 12:10,"113 - Cooking fire, confined to container",429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
5/12/20 6:04,"122 - Fire in motor home, camper, recreational vehicle",419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,"Asleep, no known impairment,Physically disabled",Sleeping,"Common room, den, family room, living room, lounge",Cause under investigation,U - Undetermined,Tillamook Fire District,1
5/17/20 4:07,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Egress/exit, other",Unintentional,N - None present,Aumsville RFPD,1
5/17/20 5:29,111 - Building fire,419 - 1 or 2 family dwelling,Undetermined,1 - Exposed to fire products,Not Reported,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
5/17/20 5:29,111 - Building fire,419 - 1 or 2 family dwelling,Undetermined,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
5/17/20 5:29,111 - Building fire,419 - 1 or 2 family dwelling,Undetermined,1 - Exposed to fire products,Possibly mentally disabled,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
5/19/20 0:08,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,N - None present,Medford RFPD,1
5/19/20 5:04,"113 - Cooking fire, confined to container","962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Cargo/trunk area-all vehicles,Failure of equipment or heat source,N - None present,Portland Fire & Rescue,1
5/19/20 17:03,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Rescue attempt,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
5/19/20 17:03,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,Not Reported,Undetermined,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
5/20/20 2:43,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Undetermined,"Cooking area, kitchen",Unintentional,N - None present,Umatilla County Fire District 1,1
5/26/20 12:56,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,North Lincoln Fire & Rescue District #1,1
5/30/20 17:44,137 - Camper or recreational vehicle (RV) fire,965 - Vehicle parking area,Moderate,1 - Exposed to fire products,Possibly impaired by alcohol,Fire control,"Vehicle area, other",Unintentional,N - Not Reported,Gaston RFPD,1
6/1/20 10:33,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Cause undetermined after investigation,1 - Present,North Douglas County Fire & EMS,1
6/5/20 8:51,111 - Building fire,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,"Open area, outside; included are farmland, field",Unintentional,1 - Present,North Douglas County Fire & EMS,1
6/8/20 21:41,112 - Fires in structure other than in a building,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Irrational act,"Cooking area, kitchen",Unintentional,N - None present,Portland Fire & Rescue,1
6/9/20 22:56,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly impaired by alcohol,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Clackamas Fire District #1,1
6/9/20 22:56,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly impaired by alcohol,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Clackamas Fire District #1,1
6/10/20 4:14,131 - Passenger vehicle fire,961 - Highway or divided highway,Fatality,7 - Struck by or contact with object,None,Undetermined,"Vehicle area, other",Unintentional,N - Not Reported,Bend Fire Department,1
6/22/20 4:08,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,1 - Present,Gresham Fire Department,1
6/22/20 14:25,111 - Building fire,161 - Restaurant or cafeteria,Minor,1 - Exposed to fire products,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Hillsboro Fire & Rescue,1
6/23/20 21:35,"160 - Special outside fire, other",961 - Highway or divided highway,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Highway, parking lot, street: on or near",Intentional,N - None present,Portland Fire & Rescue,1
6/26/20 19:27,132 - Road freight or transport vehicle fire,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Exterior, exposed surface",Cause undetermined after investigation,N - Not Reported,Scio RFPD,1
6/30/20 15:37,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
7/1/20 13:47,121 - Fire in mobile home used as fixed residence,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Sleeping,Operator/passenger area of transportation equipment,Cause undetermined after investigation,N - None present,No District,1
7/4/20 21:05,132 - Road freight or transport vehicle fire,419 - 1 or 2 family dwelling,Undetermined,N - Not Reported,Not Reported,Not Reported,Cargo/trunk area-all vehicles,Unintentional,N - Not Reported,Tualatin Valley Fire & Rescue,1
7/4/20 21:05,132 - Road freight or transport vehicle fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,Cargo/trunk area-all vehicles,Unintentional,N - Not Reported,Tualatin Valley Fire & Rescue,1
7/5/20 5:17,111 - Building fire,899 - Residential or self-storage units,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Storage area, other",Unintentional,N - None present,Portland Fire & Rescue,1
7/10/20 8:43,132 - Road freight or transport vehicle fire,965 - Vehicle parking area,Fatality,1 - Exposed to fire products,None,"Activity, other",Operator/passenger area of transportation equipment,Cause undetermined after investigation,N - Not Reported,Portland Fire & Rescue,1
7/11/20 22:25,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Escaping,"Common room, den, family room, living room, lounge",Intentional,1 - Present,North Lincoln Fire & Rescue District #1,1
7/11/20 22:25,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Intentional,1 - Present,North Lincoln Fire & Rescue District #1,1
7/13/20 19:13,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
7/17/20 19:06,111 - Building fire,429 - Multifamily dwelling,Undetermined,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
7/20/20 7:15,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Escaping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
7/22/20 10:05,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Fire control,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,Mid-Columbia Fire & Rescue,1
7/23/20 7:30,111 - Building fire,429 - Multifamily dwelling,Life threatening,"0 - Cause of injury, other",Physically restrained,Undetermined,"Dining room, cafeteria, bar area, beverage service",Unintentional,1 - Present,Portland Fire & Rescue,1
7/24/20 12:01,"122 - Fire in motor home, camper, recreational vehicle","962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,Operator/passenger area of transportation equipment,Failure of equipment or heat source,N - None present,Portland Fire & Rescue,1
7/24/20 21:28,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Hallway corridor, mall",Unintentional,1 - Present,Portland Fire & Rescue,1
7/27/20 12:01,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Vehicle storage area; garage, carport",Cause undetermined after investigation,1 - Present,Portland Fire & Rescue,1
7/27/20 19:02,142 - Brush or brush-and-grass mixture fire,429 - Multifamily dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,"Outside area, other",Cause undetermined after investigation,N - Not Reported,Tualatin Valley Fire & Rescue,1
8/2/20 15:58,111 - Building fire,"449 - Hotel/motel, commercial",Minor,1 - Exposed to fire products,Possibly impaired by alcohol,Undetermined,Bedroom - 5+ persons; including barrack/dormitory,Unintentional,U - Undetermined,Clackamas Fire District #1,1
8/4/20 8:30,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,Undetermined,Cause undetermined after investigation,U - Undetermined,No District,1
8/6/20 8:03,"120 - Fire in mobile prop. used as a fixed struc., other",931 - Open land or field,Life threatening,1 - Exposed to fire products,Not Reported,Not Reported,"Open area, outside; included are farmland, field",Intentional,N - Not Reported,Eugene Springfield Fire,1
8/8/20 13:24,142 - Brush or brush-and-grass mixture fire,931 - Open land or field,Severe,"4 - Fell, slipped, or tripped",Not Reported,Fire control,"Open area, outside; included are farmland, field",Cause undetermined after investigation,N - Not Reported,Milton-Freewater RFD,1
8/8/20 17:24,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Not Reported,"Vehicle storage area; garage, carport",Failure of equipment or heat source,1 - Present,Corvallis Fire Department,1
8/10/20 5:16,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
8/10/20 5:16,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
8/11/20 2:31,121 - Fire in mobile home used as fixed residence,"400 - Residential, other",Minor,3 - Jumped in escape attempt,Not Reported,Escaping,"Exterior balcony, unenclosed porch",Unintentional,N - None present,Marion County Fire District No.1,1
8/12/20 13:58,"160 - Special outside fire, other",931 - Open land or field,Severe,"0 - Cause of injury, other",Possibly mentally disabled,Undetermined,"Open area, outside; included are farmland, field",Intentional,N - Not Reported,Portland Fire & Rescue,1
8/15/20 16:23,142 - Brush or brush-and-grass mixture fire,931 - Open land or field,Minor,N - Not Reported,Not Reported,Not Reported,"Wildland, woods",Unintentional,N - Not Reported,Deschutes County RFPD #2,1
8/15/20 18:59,"113 - Cooking fire, confined to container",429 - Multifamily dwelling,Moderate,N - Not Reported,Not Reported,"Activity, other","Cooking area, kitchen",Unintentional,1 - Present,Clackamas Fire District #1,1
8/15/20 22:05,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Estacada Rural Fire District #69,1
8/18/20 15:51,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,N - None present,Siuslaw Valley Fire & Rescue,1
8/18/20 21:40,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Irrational act,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
8/22/20 2:01,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,"Activity, other","Dining room, cafeteria, bar area, beverage service",Cause under investigation,1 - Present,Portland Fire & Rescue,1
8/23/20 20:37,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Closet,Unintentional,1 - Present,Portland Fire & Rescue,1
9/1/20 9:31,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Escaping,"Courtyard, patio, terrace",Cause undetermined after investigation,1 - Present,Portland Fire & Rescue,1
9/1/20 17:21,136 - Self-propelled motor home or recreational vehicle,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,Possibly mentally disabled,Escaping,Undetermined,Unintentional,N - Not Reported,Portland Fire & Rescue,1
9/2/20 9:46,142 - Brush or brush-and-grass mixture fire,"600 - Ind., utility, defense, agriculture, mining, other",Moderate,1 - Exposed to fire products,None,Fire control,"Open area, outside; included are farmland, field",Unintentional,N - Not Reported,Heppner RFPD,1
9/5/20 4:27,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Grants Pass Fire & Rescue,1
9/5/20 8:30,"122 - Fire in motor home, camper, recreational vehicle","900 - Outside or special property, other",Minor,3 - Jumped in escape attempt,"Asleep, no known impairment",Escaping,"Outside area, other",Cause undetermined after investigation,N - None present,No District,1
9/6/20 20:35,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Columbia River Fire & Rescue,1
9/6/20 20:35,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Returning to vicinity of fire after control of fire,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Columbia River Fire & Rescue,1
9/7/20 2:35,"141 - Forest, woods or wildland fire","669 - Forest, timberland, woodland",Life threatening,N - Not Reported,None,Not Reported,"Wildland, woods",Cause under investigation,N - Not Reported,Lyons RFPD,1
9/7/20 2:35,"141 - Forest, woods or wildland fire","669 - Forest, timberland, woodland",Fatality,N - Not Reported,Not Reported,Not Reported,"Wildland, woods",Cause under investigation,N - Not Reported,Lyons RFPD,1
9/7/20 2:35,"141 - Forest, woods or wildland fire","669 - Forest, timberland, woodland",Fatality,N - Not Reported,Not Reported,Not Reported,"Wildland, woods",Cause under investigation,N - Not Reported,Lyons RFPD,1
9/7/20 2:35,"141 - Forest, woods or wildland fire","669 - Forest, timberland, woodland",Fatality,N - Not Reported,Not Reported,Not Reported,"Wildland, woods",Cause under investigation,N - Not Reported,Lyons RFPD,1
9/7/20 2:35,"141 - Forest, woods or wildland fire","669 - Forest, timberland, woodland",Fatality,N - Not Reported,Not Reported,Not Reported,"Wildland, woods",Cause under investigation,N - Not Reported,Lyons RFPD,1
